Uso;OpenCL;CUDA Float;Cuda Double;Python;Description
acos;acos;acosf;acos;math.acos;Return the arc cosine of x, in radians.
acosh;acosh;acoshf;acosh;math.acosh;Return the inverse hyperbolic cosine of x.
asin;asin;asinf;asin;math.asin;Return the arc sine of x, in radians.
asinh;asinh;asinhf;asinh;math.asinh;Return the inverse hyperbolic sine of x.
atan;atan;atanf;atan;math.atan;Return the arc tangent of x, in radians.
atan2;atan2;atan2f;atan2;math.atan2;Return atan(y / x), in radians. The result is between -pi and pi.
atanh;atanh;atanhf;atanh;math.atanh;Return the inverse hyperbolic tangent of x.
ceil;ceil;ceilf;ceil;math.ceil;Return the ceiling of x as a float, the smallest integer value greater than or equal to x.
cos;cos;cosf;cos;math.cos;Return the cosine of x radians.
cosh;cosh;coshf;cosh;math.cosh;Return the hyperbolic cosine of x.
erfc;erfc;erfcf;erfc;math.erfc;Return the complementary error function at x.
erf;erf;erff;erf;math.erf;Return the error function at x.
exp;exp;expf;exp;math.exp;Return e**x.
expm1;expm1;expm1f;expm1;math.expm1;Return e**x - 1.
abs;fabs;absf;abs;math.fabs;Return the absolute value of x.
floor;floor;floorf;floor;math.floor;Return the floor of x as a float, the largest integer value less than or equal to x.
max;fmax;fmaxf;fmax;max;Return the largest item in an iterable or the largest of two or more arguments.
min;fmin;fminf;fmin;min;Return the smallest item in an iterable or the smallest of two or more arguments.
mod;fmod;fmodf;fmod;math.fmod;Return fmod(x, y), as defined by the platform C library.
frexp;frexp;frexpf;frexp;math.frexp;Return the mantissa and exponent of x as the pair (m, e).
hypot;hypot;hypotf;hypot;math.hypot;Return the Euclidean norm, sqrt(x*x + y*y).
ldexp;ldexp;ldexpf;ldexp;math.ldexp;Return x * (2**i).
lgamma;lgamma;lgammaf;lgamma;math.lgamma;Return the natural logarithm of the absolute value of the Gamma function at x.
log;log;logf;log;math.log;Return the natural logarithm of x (to base e).
log10;log10;log10f;log10;math.log10;Return the base-10 logarithm of x.
log1p;log1p;log1pf;log1p;math.log1p;Return the natural logarithm of 1+x (base e). 
logb;logb;logbf;logb;math.log;Return the logarithm of x to the given base, calculated as log(x)/log(base).
modf;modf;modff;mod;math.modf;Return the fractional and integer parts of x. Both results carry the sign of x and are floats.
pow;pow;powf;pow;math.pow;Return x raised to the power y.
round;round;roundf;round;round;Return the floating point value number rounded to ndigits digits after the decimal point. 
sin;sin;sinf;sin;math.sin;Return the sine of x radians.
sinh;sinh;sinhf;sinh;math.sinh;Return the hyperbolic sine of x.
sqrt;sqrt;sqrtf;sqrt;math.sqrt;Return the square root of x.
tan;tan;tanf;tan;math.tan;Return the tangent of x radians.
tanh;tanh;tanhf;tanh;math.tanh;Return the hyperbolic tangent of x.
trunc;trunc;truncf;trunc;math.trunc;Return the Real value x truncated to an Integral (usually a long integer).
